Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Wahid Hasyim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,pelayanan cepat dan ramah.,2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,"pelayanan rama, ramah keamanan, cs helpingl, teller cekatan.",2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,teller ramah dan pelayanan baik,2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,sangat membantu,2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,layanan yang baik .,2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,"pelayanan baik dan ramah daripada kcp lainnya, pelayanan pun cepat terbaik",2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,pelayanan memuaskan dan pegawainya ramah-ramah,2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,pelayanan yang sangaat baik teller cs security sangat ramah dan menyelesaikan permasalahan.,2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,pelayanan bagus dan profesional,2
Bank Mandiri KCP Jakarta Wahid Hasyim,5,"pelayanan memuaskan, securty cs dan teller ramah",2
